Property,Pearson r,RMSE
Solubility,0.4598261434361705,139382.7953063866
Molecular_Weight,0.7678863004133887,95.04874889867791
Log_P,0.9192093373120194,0.7793707169015908
BoilingPoint,0.7585051444149198,205.82715052927992
sigma_780nm,0.42437716298232864,129.02987502642569
max_sigma,0.4508113882097863,148.3301545150983
ISC(S1-T1),0.5332003868080603,0.04774703273248817
SAscore,0.7321689027508397,0.09018509238848278
Tox_score,0.9385383240126463,0.08943653579410384
is_aromatic,0.8737116186307425,29.15977267024748
