Property,Pearson r,RMSE
Solubility,0.5348091723345416,132552.75176446463
Molecular_Weight,0.7684459239956538,93.31459206189116
Log_P,0.9263970750731546,0.7547811400378519
BoilingPoint,0.7497536479910254,208.13480550717185
sigma_780nm,0.4799299705618606,115.27037628894091
max_sigma,0.48776057070275913,136.39066563728778
ISC(S1-T1),0.5764493448200347,0.045444490667303106
SAscore,0.8675189789098612,0.06089539631831728
Tox_score,0.9364485606330885,0.09124739666244433
is_aromatic,0.9112648332763404,19.12250711685413
