Requirement already satisfied: POT in /projects/illinois/eng/ece/lgoddard/renjie2/fine-tuning/myChem2/lib/python3.11/site-packages (0.9.6.post1)
Requirement already satisfied: numpy>=1.16 in /projects/illinois/eng/ece/lgoddard/renjie2/fine-tuning/myChem2/lib/python3.11/site-packages (from POT) (2.4.0)
Requirement already satisfied: scipy>=1.6 in /projects/illinois/eng/ece/lgoddard/renjie2/fine-tuning/myChem2/lib/python3.11/site-packages (from POT) (1.17.0)
Using pooling function: mean
using CUDA
Processing dataset from CSV...
Total graphs: 211137
{('edge_attr', 'edge_index', 'edge_weight', 'smiles', 'x', 'y_arom_raw', 'y_reg_raw')}
{('edge_index', 'edge_weight', 'num_nodes', 'x', 'y_arom_raw', 'y_reg_raw')}
graph[0].x shape: (19, 9)
graph[0].edge_index shape: (2, 44)
graph[0].y_raw shape: (9,)
graph[0].y_raw shape: (1,)
Mixup via Low-rank GW (edge_attr-free)
Average mixup graph size : 10.00
{('edge_index', 'edge_weight', 'num_nodes', 'x', 'y_arom_raw', 'y_reg_raw')}
Number of training graphs: 200600
Number of validation graphs: 10557
train_reg shape: (200600, 9)
scaler.mean_.shape: (9,)
scaler.scale_.shape: (9,)
first 9 means: [6.68767083e+04 1.61446628e+02 9.86577611e-01 2.48090486e+02
 1.21625857e+02 1.51305694e+02 1.07200574e-01 1.22253088e-01
 5.95073604e-01]
first 9 stds: [1.58462345e+05 6.90901479e+01 1.49689584e+00 1.41870555e+02
 1.00080704e+02 1.15484094e+02 8.75395991e-02 1.20893406e-01
 9.47353015e-02]
col means (train, after): [-2.7431062e-07 -2.6920144e-09  3.6398648e-10 -2.1411097e-08
 -5.4794683e-08 -2.4837573e-07  2.5183289e-07 -1.0682781e-08
  2.3887185e-07]
col stds  (train, after): [0.99959457 1.0002489  0.99999374 1.0000002  0.99988216 1.0001211
 1.0000584  0.9999867  0.9999722 ]
MultiTaskEdgeCNN(
  (conv1): EdgeCNN(9, 128, num_layers=1)
  (conv2): EdgeCNN(128, 128, num_layers=1)
  (conv3): EdgeCNN(128, 128, num_layers=1)
  (fc_phys_chem_1): Linear(in_features=128, out_features=128, bias=True)
  (fc_phys_chem_2): Linear(in_features=128, out_features=64, bias=True)
  (fc_phys_chem_3): Linear(in_features=64, out_features=4, bias=True)
  (fc_opt_quant_1): Linear(in_features=128, out_features=128, bias=True)
  (fc_opt_quant_2): Linear(in_features=128, out_features=64, bias=True)
  (fc_opt_quant_3): Linear(in_features=64, out_features=3, bias=True)
  (fc_struc_tox_1): Linear(in_features=128, out_features=64, bias=True)
  (fc_struc_tox_2): Linear(in_features=64, out_features=2, bias=True)
  (fc_other_1): Linear(in_features=128, out_features=64, bias=True)
  (fc_other_2): Linear(in_features=64, out_features=32, bias=True)
  (fc_other_3): Linear(in_features=32, out_features=1, bias=True)
)
Epoch: 001, Train Loss: 1.866193, Test Loss: 1.117710
Epoch: 002, Train Loss: 1.135501, Test Loss: 0.742435
Epoch: 003, Train Loss: 0.879945, Test Loss: 0.639879
Epoch: 004, Train Loss: 0.783165, Test Loss: 0.573425
Epoch: 005, Train Loss: 0.708907, Test Loss: 0.499106
Epoch: 006, Train Loss: 0.666956, Test Loss: 0.464908
Epoch: 007, Train Loss: 0.641584, Test Loss: 0.462497
Epoch: 008, Train Loss: 0.608831, Test Loss: 0.436921
Epoch: 009, Train Loss: 0.555539, Test Loss: 0.402888
Epoch: 010, Train Loss: 0.533134, Test Loss: 0.403012
Epoch: 011, Train Loss: 0.549300, Test Loss: 0.370158
Epoch: 012, Train Loss: 0.499926, Test Loss: 0.365017
Epoch: 013, Train Loss: 0.465533, Test Loss: 0.355152
Epoch: 014, Train Loss: 0.444881, Test Loss: 0.356649
Epoch: 015, Train Loss: 0.462530, Test Loss: 0.352849
Epoch: 016, Train Loss: 0.437593, Test Loss: 0.340965
Epoch: 017, Train Loss: 0.419273, Test Loss: 0.343745
Epoch: 018, Train Loss: 0.427519, Test Loss: 0.312971
Epoch: 019, Train Loss: 0.415628, Test Loss: 0.422704
Epoch: 020, Train Loss: 0.391631, Test Loss: 0.295279
Epoch: 021, Train Loss: 0.401812, Test Loss: 0.310606
Epoch: 022, Train Loss: 0.389983, Test Loss: 0.277453
Epoch: 023, Train Loss: 0.363219, Test Loss: 0.330663
Epoch: 024, Train Loss: 0.367293, Test Loss: 0.292011
Epoch: 025, Train Loss: 0.373138, Test Loss: 0.284168
Epoch: 026, Train Loss: 0.350616, Test Loss: 0.305694
Epoch: 027, Train Loss: 0.355230, Test Loss: 0.356941
Epoch: 028, Train Loss: 0.382073, Test Loss: 0.299868
Epoch: 029, Train Loss: 0.301973, Test Loss: 0.249479
Epoch: 030, Train Loss: 0.283764, Test Loss: 0.247973
Epoch: 031, Train Loss: 0.275796, Test Loss: 0.244628
Epoch: 032, Train Loss: 0.271204, Test Loss: 0.242316
Epoch: 033, Train Loss: 0.266682, Test Loss: 0.232845
Epoch: 034, Train Loss: 0.267343, Test Loss: 0.234612
Epoch: 035, Train Loss: 0.259813, Test Loss: 0.238843
Epoch: 036, Train Loss: 0.258458, Test Loss: 0.235994
Epoch: 037, Train Loss: 0.255577, Test Loss: 0.225814
Epoch: 038, Train Loss: 0.251436, Test Loss: 0.227729
Epoch: 039, Train Loss: 0.251160, Test Loss: 0.226108
Epoch: 040, Train Loss: 0.250584, Test Loss: 0.221984
Epoch: 041, Train Loss: 0.245747, Test Loss: 0.243584
Epoch: 042, Train Loss: 0.249620, Test Loss: 0.225788
Epoch: 043, Train Loss: 0.245800, Test Loss: 0.242517
Epoch: 044, Train Loss: 0.248242, Test Loss: 0.234353
Epoch: 045, Train Loss: 0.244329, Test Loss: 0.258159
Epoch: 046, Train Loss: 0.241710, Test Loss: 0.228095
Epoch: 047, Train Loss: 0.233868, Test Loss: 0.233138
Epoch: 048, Train Loss: 0.234037, Test Loss: 0.234636
Epoch: 049, Train Loss: 0.231997, Test Loss: 0.231345
