Requirement already satisfied: POT in /projects/illinois/eng/ece/lgoddard/renjie2/fine-tuning/myChem2/lib/python3.11/site-packages (0.9.6.post1)
Requirement already satisfied: numpy>=1.16 in /projects/illinois/eng/ece/lgoddard/renjie2/fine-tuning/myChem2/lib/python3.11/site-packages (from POT) (2.4.0)
Requirement already satisfied: scipy>=1.6 in /projects/illinois/eng/ece/lgoddard/renjie2/fine-tuning/myChem2/lib/python3.11/site-packages (from POT) (1.17.0)
Using pooling function: mean
using CUDA
Processing dataset from CSV...
Total graphs: 211137
{('edge_attr', 'edge_index', 'edge_weight', 'smiles', 'x', 'y_arom_raw', 'y_reg_raw')}
{('edge_index', 'edge_weight', 'num_nodes', 'x', 'y_arom_raw', 'y_reg_raw')}
graph[0].x shape: (19, 9)
graph[0].edge_index shape: (2, 44)
graph[0].y_raw shape: (9,)
graph[0].y_raw shape: (1,)
Mixup via Low-rank GW (edge_attr-free)
Average mixup graph size : 9.99
{('edge_index', 'edge_weight', 'num_nodes', 'x', 'y_arom_raw', 'y_reg_raw')}
Number of training graphs: 210605
Number of validation graphs: 10557
train_reg shape: (210605, 9)
scaler.mean_.shape: (9,)
scaler.scale_.shape: (9,)
first 9 means: [6.69888646e+04 1.61409459e+02 9.87304967e-01 2.48070041e+02
 1.21634272e+02 1.51357752e+02 1.07279215e-01 1.22231477e-01
 5.95164727e-01]
first 9 stds: [1.58448555e+05 6.90185835e+01 1.49567928e+00 1.41703221e+02
 1.00905908e+02 1.16731763e+02 8.74819767e-02 1.20749499e-01
 9.45794217e-02]
col means (train, after): [ 1.7614678e-07 -4.0804156e-08 -4.2407162e-09 -1.6566287e-07
  7.0236290e-08 -5.3127604e-08  2.3853461e-08 -2.5879010e-09
  1.3350204e-07]
col stds  (train, after): [0.9994523  1.0002475  0.99998707 0.9999251  1.0000004  0.9999128
 0.9995119  0.9999888  0.999976  ]
MultiTaskEdgeCNN(
  (conv1): EdgeCNN(9, 128, num_layers=1)
  (conv2): EdgeCNN(128, 128, num_layers=1)
  (conv3): EdgeCNN(128, 128, num_layers=1)
  (fc_phys_chem_1): Linear(in_features=128, out_features=128, bias=True)
  (fc_phys_chem_2): Linear(in_features=128, out_features=64, bias=True)
  (fc_phys_chem_3): Linear(in_features=64, out_features=4, bias=True)
  (fc_opt_quant_1): Linear(in_features=128, out_features=128, bias=True)
  (fc_opt_quant_2): Linear(in_features=128, out_features=64, bias=True)
  (fc_opt_quant_3): Linear(in_features=64, out_features=3, bias=True)
  (fc_struc_tox_1): Linear(in_features=128, out_features=64, bias=True)
  (fc_struc_tox_2): Linear(in_features=64, out_features=2, bias=True)
  (fc_other_1): Linear(in_features=128, out_features=64, bias=True)
  (fc_other_2): Linear(in_features=64, out_features=32, bias=True)
  (fc_other_3): Linear(in_features=32, out_features=1, bias=True)
)
Epoch: 001, Train Loss: 1.875172, Test Loss: 1.112458
Epoch: 002, Train Loss: 1.179514, Test Loss: 0.708619
Epoch: 003, Train Loss: 0.936659, Test Loss: 0.617049
Epoch: 004, Train Loss: 0.834690, Test Loss: 0.597534
Epoch: 005, Train Loss: 0.772498, Test Loss: 0.576114
Epoch: 006, Train Loss: 0.730117, Test Loss: 0.539806
Epoch: 007, Train Loss: 0.694634, Test Loss: 0.568300
Epoch: 008, Train Loss: 0.661333, Test Loss: 0.415630
Epoch: 009, Train Loss: 0.637028, Test Loss: 0.428135
Epoch: 010, Train Loss: 0.604141, Test Loss: 0.432104
Epoch: 011, Train Loss: 0.578163, Test Loss: 0.387649
Epoch: 012, Train Loss: 0.550785, Test Loss: 0.449598
Epoch: 013, Train Loss: 0.525653, Test Loss: 0.516635
Epoch: 014, Train Loss: 0.563392, Test Loss: 0.455245
Epoch: 015, Train Loss: 0.481360, Test Loss: 0.333475
Epoch: 016, Train Loss: 0.509869, Test Loss: 0.353701
Epoch: 017, Train Loss: 0.483214, Test Loss: 0.338320
Epoch: 018, Train Loss: 0.460332, Test Loss: 0.325594
Epoch: 019, Train Loss: 0.456807, Test Loss: 0.296237
Epoch: 020, Train Loss: 0.460239, Test Loss: 0.299044
Epoch: 021, Train Loss: 0.459284, Test Loss: 0.400525
Epoch: 022, Train Loss: 0.469433, Test Loss: 0.281084
Epoch: 023, Train Loss: 0.425012, Test Loss: 0.327625
Epoch: 024, Train Loss: 0.415700, Test Loss: 0.308048
Epoch: 025, Train Loss: 0.441966, Test Loss: 0.334016
Epoch: 026, Train Loss: 0.412461, Test Loss: 0.326202
Epoch: 027, Train Loss: 0.435797, Test Loss: 0.271367
Epoch: 028, Train Loss: 0.397312, Test Loss: 0.265783
Epoch: 029, Train Loss: 0.395668, Test Loss: 0.271458
Epoch: 030, Train Loss: 0.397600, Test Loss: 0.268561
Epoch: 031, Train Loss: 0.377077, Test Loss: 0.258723
Epoch: 032, Train Loss: 0.370070, Test Loss: 0.251169
Epoch: 033, Train Loss: 0.368233, Test Loss: 0.272820
Epoch: 034, Train Loss: 0.361689, Test Loss: 0.335106
Epoch: 035, Train Loss: 0.387295, Test Loss: 0.289364
Epoch: 036, Train Loss: 0.385478, Test Loss: 0.279454
Epoch: 037, Train Loss: 0.345845, Test Loss: 0.259890
Epoch: 038, Train Loss: 0.324436, Test Loss: 0.242545
Epoch: 039, Train Loss: 0.336068, Test Loss: 0.325151
Epoch: 040, Train Loss: 0.346792, Test Loss: 0.248816
Epoch: 041, Train Loss: 0.342932, Test Loss: 0.232392
Epoch: 042, Train Loss: 0.318452, Test Loss: 0.258498
Epoch: 043, Train Loss: 0.352137, Test Loss: 0.211062
Epoch: 044, Train Loss: 0.325920, Test Loss: 0.226070
Epoch: 045, Train Loss: 0.308285, Test Loss: 0.235269
Epoch: 046, Train Loss: 0.311332, Test Loss: 0.248259
Epoch: 047, Train Loss: 0.327847, Test Loss: 0.252607
Epoch: 048, Train Loss: 0.311851, Test Loss: 0.364489
Epoch: 049, Train Loss: 0.327437, Test Loss: 0.278500
