Requirement already satisfied: POT in /projects/illinois/eng/ece/lgoddard/renjie2/fine-tuning/myChem2/lib/python3.11/site-packages (0.9.6.post1)
Requirement already satisfied: numpy>=1.16 in /projects/illinois/eng/ece/lgoddard/renjie2/fine-tuning/myChem2/lib/python3.11/site-packages (from POT) (2.4.0)
Requirement already satisfied: scipy>=1.6 in /projects/illinois/eng/ece/lgoddard/renjie2/fine-tuning/myChem2/lib/python3.11/site-packages (from POT) (1.17.0)
Using pooling function: mean
using CUDA
Processing dataset from CSV...
Total graphs: 211137
{('edge_attr', 'edge_index', 'edge_weight', 'smiles', 'x', 'y_arom_raw', 'y_reg_raw')}
{('edge_index', 'edge_weight', 'num_nodes', 'x', 'y_arom_raw', 'y_reg_raw')}
graph[0].x shape: (19, 9)
graph[0].edge_index shape: (2, 44)
graph[0].y_raw shape: (9,)
graph[0].y_raw shape: (1,)
Mixup via Low-rank GW (edge_attr-free)
Average mixup graph size : 9.99
{('edge_index', 'edge_weight', 'num_nodes', 'x', 'y_arom_raw', 'y_reg_raw')}
Number of training graphs: 230665
Number of validation graphs: 10557
train_reg shape: (230665, 9)
scaler.mean_.shape: (9,)
scaler.scale_.shape: (9,)
first 9 means: [6.70527017e+04 1.61359252e+02 9.87215134e-01 2.47796369e+02
 1.21821124e+02 1.51495550e+02 1.07241919e-01 1.22151300e-01
 5.95158456e-01]
first 9 stds: [1.58125134e+05 6.88300393e+01 1.49323282e+00 1.41353833e+02
 1.00895290e+02 1.16322000e+02 8.72990622e-02 1.20493199e-01
 9.46361624e-02]
col means (train, after): [ 1.3266942e-06  4.7203862e-08 -2.1904606e-08 -5.7813730e-07
 -3.8496475e-07  5.6401865e-07  5.2582658e-07 -1.0692737e-08
 -2.0941020e-08]
col stds  (train, after): [1.0005356  1.0002433  0.999985   1.0000061  0.99992776 1.0001645
 1.0003774  0.99998367 0.99997324]
MultiTaskEdgeCNN(
  (conv1): EdgeCNN(9, 128, num_layers=1)
  (conv2): EdgeCNN(128, 128, num_layers=1)
  (conv3): EdgeCNN(128, 128, num_layers=1)
  (fc_phys_chem_1): Linear(in_features=128, out_features=128, bias=True)
  (fc_phys_chem_2): Linear(in_features=128, out_features=64, bias=True)
  (fc_phys_chem_3): Linear(in_features=64, out_features=4, bias=True)
  (fc_opt_quant_1): Linear(in_features=128, out_features=128, bias=True)
  (fc_opt_quant_2): Linear(in_features=128, out_features=64, bias=True)
  (fc_opt_quant_3): Linear(in_features=64, out_features=3, bias=True)
  (fc_struc_tox_1): Linear(in_features=128, out_features=64, bias=True)
  (fc_struc_tox_2): Linear(in_features=64, out_features=2, bias=True)
  (fc_other_1): Linear(in_features=128, out_features=64, bias=True)
  (fc_other_2): Linear(in_features=64, out_features=32, bias=True)
  (fc_other_3): Linear(in_features=32, out_features=1, bias=True)
)
Epoch: 001, Train Loss: 1.855181, Test Loss: 1.007715
Epoch: 002, Train Loss: 1.173634, Test Loss: 0.711348
Epoch: 003, Train Loss: 0.988576, Test Loss: 0.609575
Epoch: 004, Train Loss: 0.908273, Test Loss: 0.624602
Epoch: 005, Train Loss: 0.852251, Test Loss: 0.571467
Epoch: 006, Train Loss: 0.785185, Test Loss: 0.470449
Epoch: 007, Train Loss: 0.778715, Test Loss: 0.428403
Epoch: 008, Train Loss: 0.729588, Test Loss: 0.402536
Epoch: 009, Train Loss: 0.676452, Test Loss: 0.436473
Epoch: 010, Train Loss: 0.666431, Test Loss: 0.383511
Epoch: 011, Train Loss: 0.646889, Test Loss: 0.394660
Epoch: 012, Train Loss: 0.677060, Test Loss: 0.475054
Epoch: 013, Train Loss: 0.600247, Test Loss: 0.361206
Epoch: 014, Train Loss: 0.601397, Test Loss: 0.361304
Epoch: 015, Train Loss: 0.597977, Test Loss: 0.349448
Epoch: 016, Train Loss: 0.553054, Test Loss: 0.377670
Epoch: 017, Train Loss: 0.580122, Test Loss: 0.322513
Epoch: 018, Train Loss: 0.524372, Test Loss: 0.313307
Epoch: 019, Train Loss: 0.507703, Test Loss: 0.297652
Epoch: 020, Train Loss: 0.521577, Test Loss: 0.325911
Epoch: 021, Train Loss: 0.503720, Test Loss: 0.379092
Epoch: 022, Train Loss: 0.510843, Test Loss: 0.322395
Epoch: 023, Train Loss: 0.485670, Test Loss: 0.295551
Epoch: 024, Train Loss: 0.471656, Test Loss: 0.267386
Epoch: 025, Train Loss: 0.470925, Test Loss: 0.275123
Epoch: 026, Train Loss: 0.441805, Test Loss: 0.303664
Epoch: 027, Train Loss: 0.445514, Test Loss: 0.317596
Epoch: 028, Train Loss: 0.474239, Test Loss: 0.261421
Epoch: 029, Train Loss: 0.439124, Test Loss: 0.279817
Epoch: 030, Train Loss: 0.426100, Test Loss: 0.324420
Epoch: 031, Train Loss: 0.429346, Test Loss: 0.298103
Epoch: 032, Train Loss: 0.420787, Test Loss: 0.235902
Epoch: 033, Train Loss: 0.389972, Test Loss: 0.300662
Epoch: 034, Train Loss: 0.403707, Test Loss: 0.244336
Epoch: 035, Train Loss: 0.384703, Test Loss: 0.245900
Epoch: 036, Train Loss: 0.383014, Test Loss: 0.247821
Epoch: 037, Train Loss: 0.386301, Test Loss: 0.236304
Epoch: 038, Train Loss: 0.378241, Test Loss: 0.254135
Epoch: 039, Train Loss: 0.332050, Test Loss: 0.213655
Epoch: 040, Train Loss: 0.309189, Test Loss: 0.216869
Epoch: 041, Train Loss: 0.297061, Test Loss: 0.221117
Epoch: 042, Train Loss: 0.297986, Test Loss: 0.209565
Epoch: 043, Train Loss: 0.293269, Test Loss: 0.205655
Epoch: 044, Train Loss: 0.288316, Test Loss: 0.214553
Epoch: 045, Train Loss: 0.285436, Test Loss: 0.203139
Epoch: 046, Train Loss: 0.284094, Test Loss: 0.204294
Epoch: 047, Train Loss: 0.281027, Test Loss: 0.209114
Epoch: 048, Train Loss: 0.279145, Test Loss: 0.203959
Epoch: 049, Train Loss: 0.281253, Test Loss: 0.228568
