Requirement already satisfied: POT in /projects/illinois/eng/ece/lgoddard/renjie2/fine-tuning/myChem2/lib/python3.11/site-packages (0.9.6.post1)
Requirement already satisfied: numpy>=1.16 in /projects/illinois/eng/ece/lgoddard/renjie2/fine-tuning/myChem2/lib/python3.11/site-packages (from POT) (2.4.0)
Requirement already satisfied: scipy>=1.6 in /projects/illinois/eng/ece/lgoddard/renjie2/fine-tuning/myChem2/lib/python3.11/site-packages (from POT) (1.17.0)
Using pooling function: mean
using CUDA
Processing dataset from CSV...
Total graphs: 211137
{('edge_attr', 'edge_index', 'edge_weight', 'smiles', 'x', 'y_arom_raw', 'y_reg_raw')}
{('edge_index', 'edge_weight', 'num_nodes', 'x', 'y_arom_raw', 'y_reg_raw')}
graph[0].x shape: (19, 9)
graph[0].edge_index shape: (2, 44)
graph[0].y_raw shape: (9,)
graph[0].y_raw shape: (1,)
Mixup via Low-rank GW (edge_attr-free)
Average mixup graph size : 9.99
{('edge_index', 'edge_weight', 'num_nodes', 'x', 'y_arom_raw', 'y_reg_raw')}
Number of training graphs: 260750
Number of validation graphs: 10557
train_reg shape: (260750, 9)
scaler.mean_.shape: (9,)
scaler.scale_.shape: (9,)
first 9 means: [6.70812350e+04 1.61494109e+02 9.91959503e-01 2.48029586e+02
 1.21911626e+02 1.51676899e+02 1.07147891e-01 1.22217231e-01
 5.95040974e-01]
first 9 stds: [1.57594752e+05 6.87640103e+01 1.49218632e+00 1.41274421e+02
 1.02927590e+02 1.18454227e+02 8.72579664e-02 1.20140462e-01
 9.42526576e-02]
col means (train, after): [-7.8262764e-07  2.7248038e-08 -4.7119787e-08  2.2813629e-07
  1.5717316e-07  2.0413429e-06 -4.1869319e-07  5.8779439e-09
 -4.4393403e-08]
col stds  (train, after): [1.0005317  1.000095   0.9999716  0.9999455  0.99997103 1.00003
 1.0006007  0.99998415 0.9999758 ]
MultiTaskEdgeCNN(
  (conv1): EdgeCNN(9, 128, num_layers=1)
  (conv2): EdgeCNN(128, 128, num_layers=1)
  (conv3): EdgeCNN(128, 128, num_layers=1)
  (fc_phys_chem_1): Linear(in_features=128, out_features=128, bias=True)
  (fc_phys_chem_2): Linear(in_features=128, out_features=64, bias=True)
  (fc_phys_chem_3): Linear(in_features=64, out_features=4, bias=True)
  (fc_opt_quant_1): Linear(in_features=128, out_features=128, bias=True)
  (fc_opt_quant_2): Linear(in_features=128, out_features=64, bias=True)
  (fc_opt_quant_3): Linear(in_features=64, out_features=3, bias=True)
  (fc_struc_tox_1): Linear(in_features=128, out_features=64, bias=True)
  (fc_struc_tox_2): Linear(in_features=64, out_features=2, bias=True)
  (fc_other_1): Linear(in_features=128, out_features=64, bias=True)
  (fc_other_2): Linear(in_features=64, out_features=32, bias=True)
  (fc_other_3): Linear(in_features=32, out_features=1, bias=True)
)
Epoch: 001, Train Loss: 1.871171, Test Loss: 1.036602
Epoch: 002, Train Loss: 1.242655, Test Loss: 0.673760
Epoch: 003, Train Loss: 1.073768, Test Loss: 0.569941
Epoch: 004, Train Loss: 0.989113, Test Loss: 0.554425
Epoch: 005, Train Loss: 0.967578, Test Loss: 0.848040
Epoch: 006, Train Loss: 0.954192, Test Loss: 0.565320
Epoch: 007, Train Loss: 0.892175, Test Loss: 0.552528
Epoch: 008, Train Loss: 0.803160, Test Loss: 0.422267
Epoch: 009, Train Loss: 0.808687, Test Loss: 0.487241
Epoch: 010, Train Loss: 0.743037, Test Loss: 0.378610
Epoch: 011, Train Loss: 0.703962, Test Loss: 0.361121
Epoch: 012, Train Loss: 0.711452, Test Loss: 0.470990
Epoch: 013, Train Loss: 0.650711, Test Loss: 0.360647
Epoch: 014, Train Loss: 0.685831, Test Loss: 0.346904
Epoch: 015, Train Loss: 0.648151, Test Loss: 0.377308
Epoch: 016, Train Loss: 0.607724, Test Loss: 0.325564
Epoch: 017, Train Loss: 0.629421, Test Loss: 0.353818
Epoch: 018, Train Loss: 0.613442, Test Loss: 0.395254
Epoch: 019, Train Loss: 0.590351, Test Loss: 0.290192
Epoch: 020, Train Loss: 0.554913, Test Loss: 0.290922
Epoch: 021, Train Loss: 0.556382, Test Loss: 0.346678
Epoch: 022, Train Loss: 0.541564, Test Loss: 0.312188
Epoch: 023, Train Loss: 0.518668, Test Loss: 0.273726
Epoch: 024, Train Loss: 0.515175, Test Loss: 0.374416
Epoch: 025, Train Loss: 0.527582, Test Loss: 0.335030
Epoch: 026, Train Loss: 0.495520, Test Loss: 0.255568
Epoch: 027, Train Loss: 0.503411, Test Loss: 0.361798
Epoch: 028, Train Loss: 0.486917, Test Loss: 0.254965
Epoch: 029, Train Loss: 0.464552, Test Loss: 0.429692
Epoch: 030, Train Loss: 0.497540, Test Loss: 0.257156
Epoch: 031, Train Loss: 0.454187, Test Loss: 0.282903
Epoch: 032, Train Loss: 0.477826, Test Loss: 0.254109
Epoch: 033, Train Loss: 0.457294, Test Loss: 0.315527
Epoch: 034, Train Loss: 0.421144, Test Loss: 0.283210
Epoch: 035, Train Loss: 0.406739, Test Loss: 0.282537
Epoch: 036, Train Loss: 0.444453, Test Loss: 0.291852
Epoch: 037, Train Loss: 0.434551, Test Loss: 0.245613
Epoch: 038, Train Loss: 0.411942, Test Loss: 0.237229
Epoch: 039, Train Loss: 0.398824, Test Loss: 0.226354
Epoch: 040, Train Loss: 0.391260, Test Loss: 0.232585
Epoch: 041, Train Loss: 0.398402, Test Loss: 0.281309
Epoch: 042, Train Loss: 0.400647, Test Loss: 0.253104
Epoch: 043, Train Loss: 0.371181, Test Loss: 0.247217
Epoch: 044, Train Loss: 0.382896, Test Loss: 0.205929
Epoch: 045, Train Loss: 0.381843, Test Loss: 0.214049
Epoch: 046, Train Loss: 0.389214, Test Loss: 0.234335
Epoch: 047, Train Loss: 0.378774, Test Loss: 0.246691
Epoch: 048, Train Loss: 0.368318, Test Loss: 0.226821
Epoch: 049, Train Loss: 0.358889, Test Loss: 0.228651
