Property,Pearson r,RMSE
Solubility,0.5990355548566206,126946.22543477333
Molecular_Weight,0.7697617351626679,92.80651342765083
Log_P,0.9251210506553276,0.7355758064543846
BoilingPoint,0.7504379233456767,205.4811041128975
sigma_780nm,0.5719229108450661,107.63102273733546
max_sigma,0.5704842710245677,128.72776144018823
ISC(S1-T1),0.5101920721399611,0.04657361882823784
SAscore,0.7993959017667156,0.07486878319599151
Tox_score,0.9350182989416485,0.08833519798926692
is_aromatic,0.8233685181650432,53.52965704626628
