Property,Pearson r,RMSE
Solubility,0.8389979800289741,101508.01431689254
Molecular_Weight,0.9892400471154453,46.36128504369983
Log_P,0.9631402812557495,0.5276756388673826
BoilingPoint,0.9830693755007879,112.7538224909431
sigma_780nm,0.38714995535186403,122.96342885097057
max_sigma,0.45205908107195064,139.17143914392906
ISC(S1-T1),0.501299881860996,0.04367109717770313
SAscore,0.7990961478506751,0.07759743771349897
Tox_score,0.9465320795158698,0.06302914760104687
is_aromatic,0.8495592924402136,22.632165614797145
