Property,Pearson r,RMSE
Solubility,0.7597022334044109,109919.72321404314
Molecular_Weight,0.9433399712601612,57.630328463067855
Log_P,0.9012970006772701,0.8831159438751982
BoilingPoint,0.9407652170707625,133.71063530239064
sigma_780nm,0.44761727666984824,124.60269940783996
max_sigma,0.4651946232373591,147.58413170446016
ISC(S1-T1),0.36155575544122787,0.0523179324000526
SAscore,0.7547173550398424,0.078075987604996
Tox_score,0.9724145503155779,0.047181531482568775
is_aromatic,0.9454033335255907,23.037256889696213
