Property,Pearson r,RMSE
Solubility,0.6423626757569154,120725.54465415706
Molecular_Weight,0.6951823868507998,121.77842045202627
Log_P,0.7503115669908795,1.3416200361669364
BoilingPoint,0.6904081346533931,261.67613176904086
sigma_780nm,0.32462111726752874,125.99243452281509
max_sigma,0.29543963862011946,151.55858821468408
ISC(S1-T1),0.38685127062095126,0.04645063788482981
SAscore,0.6392456177861134,0.10999310854802297
Tox_score,0.8260563682611022,0.14172871731142342
is_aromatic,0.835425196955813,15.286076085552127
