Property,Pearson r,RMSE
Solubility,0.5804221900620218,127016.43556240683
Molecular_Weight,0.6796545697370241,124.87264391327547
Log_P,0.6875502009654942,1.3996724170860002
BoilingPoint,0.7062569760940925,260.54648913826406
sigma_780nm,0.43820418239352227,117.726522362779
max_sigma,0.4295587024896578,141.45134725317607
ISC(S1-T1),0.2733867427855493,0.051116693970985366
SAscore,0.5741119161250495,0.11939932488531156
Tox_score,0.8532846704682604,0.14031789425725008
is_aromatic,0.9097700405711324,16.179435110500812
