Property,Pearson r,RMSE
Solubility,0.35136193997187865,146626.8803047622
Molecular_Weight,0.6646167309914804,111.44343913716773
Log_P,0.6852834265489383,1.515643842815428
BoilingPoint,0.5463382853220636,268.93266450077556
sigma_780nm,0.34603823341815343,125.49997041144205
max_sigma,0.32120306030288975,150.41797330113852
ISC(S1-T1),0.44875679405313107,0.05045668140406539
SAscore,0.6073108673371083,0.11371722093013296
Tox_score,0.8961045072751146,0.11387758111833823
is_aromatic,0.841998515746276,28.284642034389226
