Property,Pearson r,RMSE
Solubility,0.5397714406308308,148618.25645397842
Molecular_Weight,0.7806595455916387,94.78216116091546
Log_P,0.7630536341170244,1.297293859989221
BoilingPoint,0.7251059011468874,226.6747839426167
sigma_780nm,0.3909459829744827,120.49051960527609
max_sigma,0.3821303874044001,145.3469409267404
ISC(S1-T1),0.49947583347968705,0.04826430198115834
SAscore,0.6233487262364392,0.10432892682192113
Tox_score,0.9202097071410278,0.09948048507494309
is_aromatic,0.8554092596892099,26.32441361246928
