Property,Pearson r,RMSE
Solubility,0.5635202670950611,128866.86039058042
Molecular_Weight,0.6694892255027329,108.4227656045061
Log_P,0.8058581095887358,1.1532968350366164
BoilingPoint,0.6201307030961192,248.8759070355614
sigma_780nm,0.08383448894754095,455.4815848835549
max_sigma,0.08928175439134298,483.79157227046244
ISC(S1-T1),0.11887131842589418,0.10540622224839899
SAscore,0.7912509318859733,0.07926080389326534
Tox_score,0.9133924803729275,0.09455956867313829
is_aromatic,0.7741710484536973,26.718318580765846
