Property,Pearson r,RMSE
Solubility,0.745696194502145,107085.40983276401
Molecular_Weight,0.9895400212765102,63.02919120684613
Log_P,0.7894429459229735,1.21634778526222
BoilingPoint,0.9808447675573416,138.46555857159612
sigma_780nm,0.30426791529513614,127.19210679990964
max_sigma,0.322121124887081,150.90510101722788
ISC(S1-T1),0.5440758047494603,0.04195648281425634
SAscore,0.5350355423396577,0.14330948726831935
Tox_score,0.9207806080284463,0.08898993732217987
is_aromatic,0.8352942974587965,22.11491570151596
