Property,Pearson r,RMSE
Solubility,0.5049778534953075,138407.25732825897
Molecular_Weight,0.7892735738698667,116.57335375338607
Log_P,0.7781463076932486,1.2072620917619563
BoilingPoint,0.6740718495744358,260.31672838284936
sigma_780nm,0.37458129025180015,121.6847352773909
max_sigma,0.3477781005046666,147.13064007410827
ISC(S1-T1),0.5441548222348854,0.04409073143628387
SAscore,0.5907226098401953,0.1281981085077132
Tox_score,0.8827828251665184,0.11715316114339894
is_aromatic,0.7970380018342486,30.286283720461263
