Property,Pearson r,RMSE
Solubility,0.6347752826674512,126733.59397077854
Molecular_Weight,0.9370580058360453,88.2983293643923
Log_P,0.7795868343904649,1.1809469614328931
BoilingPoint,0.9155338411186167,193.72238196373553
sigma_780nm,0.388633887446953,119.92047032386601
max_sigma,0.3576832492567076,145.6561442975006
ISC(S1-T1),0.5948337815294545,0.045528038889890925
SAscore,0.6125432258368112,0.10038433324744941
Tox_score,0.9507781255805037,0.0861010293751406
is_aromatic,0.9418438918418022,20.206225062101403
