Property,Pearson r,RMSE
Solubility,0.6175250194245212,123179.7182888893
Molecular_Weight,0.4769935109151383,132.92858492881533
Log_P,0.5953155424460774,1.5164208740028309
BoilingPoint,0.46148713620458437,293.5125663590584
sigma_780nm,0.20357500947934803,129.8604676819823
max_sigma,0.13540764714080403,158.24117258844078
ISC(S1-T1),0.2297763783524673,0.05227987292543978
SAscore,0.44334955609589843,0.1195471617824668
Tox_score,0.5930246863123328,0.18713563917987694
is_aromatic,0.7295163454155654,9.13914534632165
