Property,Pearson r,RMSE
Solubility,0.6622000601024693,117526.4239687269
Molecular_Weight,0.4117610688868383,144.09972120309874
Log_P,0.5589640318610901,1.591269226721772
BoilingPoint,0.45485375648166515,305.3736111037864
sigma_780nm,0.11351076321411047,133.10509237570227
max_sigma,0.04764533010797727,161.0665593792383
ISC(S1-T1),0.35469119848181213,0.04713302352701712
SAscore,0.5683400513676815,0.0925580753391424
Tox_score,0.6436447118648294,0.19628248885035957
is_aromatic,0.7139026907148167,15.491624767583238
