Property,Pearson r,RMSE
Solubility,0.5578111277191533,135465.27189932312
Molecular_Weight,0.6307375199838877,119.82372823352587
Log_P,0.8540672556855082,1.0649950007745113
BoilingPoint,0.5360713268429318,275.2139225578672
sigma_780nm,0.20540317751074968,199.70664910286655
max_sigma,0.20542699808923615,222.92494442316027
ISC(S1-T1),0.39833775949963396,0.05287934368458177
SAscore,0.7883829439624641,0.07808284472768352
Tox_score,0.9287640792718211,0.0902354002392606
is_aromatic,0.8458683737319708,31.986786821576892
