Property,Pearson r,RMSE
Solubility,0.5574022292201649,129243.06815788326
Molecular_Weight,0.7226089139871734,102.10561463394245
Log_P,0.9081677662377481,0.8178340809714705
BoilingPoint,0.7451623936908414,210.95669039789098
sigma_780nm,0.5257092308154263,111.88801962561539
max_sigma,0.520976401095457,133.80605569156842
ISC(S1-T1),0.5019569147890752,0.04731671331185058
SAscore,0.8497197655761779,0.06534067599497288
Tox_score,0.9314739544020008,0.09580915560858194
is_aromatic,0.9132114269713941,15.721224927305792
