Requirement already satisfied: POT in /projects/illinois/eng/ece/lgoddard/renjie2/fine-tuning/myChem2/lib/python3.11/site-packages (0.9.6.post1)
Requirement already satisfied: numpy>=1.16 in /projects/illinois/eng/ece/lgoddard/renjie2/fine-tuning/myChem2/lib/python3.11/site-packages (from POT) (2.4.0)
Requirement already satisfied: scipy>=1.6 in /projects/illinois/eng/ece/lgoddard/renjie2/fine-tuning/myChem2/lib/python3.11/site-packages (from POT) (1.17.0)
Using pooling function: mean
using CUDA
Processing dataset from CSV...
Total graphs: 211137
{('edge_attr', 'edge_index', 'edge_weight', 'smiles', 'x', 'y_arom_raw', 'y_reg_raw')}
{('edge_index', 'edge_weight', 'num_nodes', 'x', 'y_arom_raw', 'y_reg_raw')}
graph[0].x shape: (19, 9)
graph[0].edge_index shape: (2, 44)
graph[0].y_raw shape: (9,)
graph[0].y_raw shape: (1,)
Mixup via Low-rank GW (edge_attr-free)
Average mixup graph size : 9.99
{('edge_index', 'edge_weight', 'num_nodes', 'x', 'y_arom_raw', 'y_reg_raw')}
Number of training graphs: 290840
Number of validation graphs: 10557
train_reg shape: (290840, 9)
scaler.mean_.shape: (9,)
scaler.scale_.shape: (9,)
first 9 means: [6.74135203e+04 1.61232475e+02 9.85834266e-01 2.47398364e+02
 1.21475937e+02 1.51113311e+02 1.07599064e-01 1.21725313e-01
 5.95199061e-01]
first 9 stds: [1.57708084e+05 6.85994711e+01 1.48842657e+00 1.40818362e+02
 9.53370191e+01 1.10522969e+02 8.70785613e-02 1.20098009e-01
 9.42926565e-02]
col means (train, after): [ 2.6513680e-06 -1.8302870e-06  1.9059232e-08  9.6657652e-07
 -6.8071664e-08 -2.3030543e-07  3.4994795e-07 -5.9836225e-09
  1.3456059e-07]
col stds  (train, after): [1.0004609  1.0001613  0.99996907 1.0000308  1.0000384  1.0000551
 1.0002174  0.9999815  0.9999538 ]
MultiTaskEdgeCNN(
  (conv1): EdgeCNN(9, 128, num_layers=1)
  (conv2): EdgeCNN(128, 128, num_layers=1)
  (conv3): EdgeCNN(128, 128, num_layers=1)
  (fc_phys_chem_1): Linear(in_features=128, out_features=128, bias=True)
  (fc_phys_chem_2): Linear(in_features=128, out_features=64, bias=True)
  (fc_phys_chem_3): Linear(in_features=64, out_features=4, bias=True)
  (fc_opt_quant_1): Linear(in_features=128, out_features=128, bias=True)
  (fc_opt_quant_2): Linear(in_features=128, out_features=64, bias=True)
  (fc_opt_quant_3): Linear(in_features=64, out_features=3, bias=True)
  (fc_struc_tox_1): Linear(in_features=128, out_features=64, bias=True)
  (fc_struc_tox_2): Linear(in_features=64, out_features=2, bias=True)
  (fc_other_1): Linear(in_features=128, out_features=64, bias=True)
  (fc_other_2): Linear(in_features=64, out_features=32, bias=True)
  (fc_other_3): Linear(in_features=32, out_features=1, bias=True)
)
Epoch: 001, Train Loss: 1.852462, Test Loss: 1.051466
Epoch: 002, Train Loss: 1.221272, Test Loss: 0.732077
Epoch: 003, Train Loss: 1.046533, Test Loss: 0.696445
Epoch: 004, Train Loss: 0.965906, Test Loss: 0.510736
Epoch: 005, Train Loss: 0.905580, Test Loss: 0.450254
Epoch: 006, Train Loss: 0.852907, Test Loss: 0.545535
Epoch: 007, Train Loss: 0.821118, Test Loss: 0.463194
Epoch: 008, Train Loss: 0.779880, Test Loss: 0.480474
Epoch: 009, Train Loss: 0.755646, Test Loss: 0.460754
Epoch: 010, Train Loss: 0.719185, Test Loss: 0.421537
Epoch: 011, Train Loss: 0.737902, Test Loss: 0.371185
Epoch: 012, Train Loss: 0.674001, Test Loss: 0.377116
Epoch: 013, Train Loss: 0.660453, Test Loss: 0.357844
Epoch: 014, Train Loss: 0.636479, Test Loss: 0.322523
Epoch: 015, Train Loss: 0.613986, Test Loss: 0.313090
Epoch: 016, Train Loss: 0.636742, Test Loss: 0.351994
Epoch: 017, Train Loss: 0.617976, Test Loss: 0.445320
Epoch: 018, Train Loss: 0.573500, Test Loss: 0.302287
Epoch: 019, Train Loss: 0.572146, Test Loss: 0.312623
Epoch: 020, Train Loss: 0.573932, Test Loss: 0.297232
Epoch: 021, Train Loss: 0.557962, Test Loss: 0.279801
Epoch: 022, Train Loss: 0.540176, Test Loss: 0.321412
Epoch: 023, Train Loss: 0.540126, Test Loss: 0.312682
Epoch: 024, Train Loss: 0.527634, Test Loss: 0.277354
Epoch: 025, Train Loss: 0.519614, Test Loss: 0.281105
Epoch: 026, Train Loss: 0.513021, Test Loss: 0.275015
Epoch: 027, Train Loss: 0.503754, Test Loss: 0.327630
Epoch: 028, Train Loss: 0.482303, Test Loss: 0.308824
Epoch: 029, Train Loss: 0.480319, Test Loss: 0.272358
Epoch: 030, Train Loss: 0.494038, Test Loss: 0.253314
Epoch: 031, Train Loss: 0.457369, Test Loss: 0.275042
Epoch: 032, Train Loss: 0.466647, Test Loss: 0.269690
Epoch: 033, Train Loss: 0.472609, Test Loss: 0.327953
Epoch: 034, Train Loss: 0.478674, Test Loss: 0.289285
Epoch: 035, Train Loss: 0.437623, Test Loss: 0.315749
Epoch: 036, Train Loss: 0.446176, Test Loss: 0.292371
Epoch: 037, Train Loss: 0.371830, Test Loss: 0.236834
Epoch: 038, Train Loss: 0.359495, Test Loss: 0.225715
Epoch: 039, Train Loss: 0.353913, Test Loss: 0.224140
Epoch: 040, Train Loss: 0.352971, Test Loss: 0.212349
Epoch: 041, Train Loss: 0.350397, Test Loss: 0.213081
Epoch: 042, Train Loss: 0.345783, Test Loss: 0.213109
Epoch: 043, Train Loss: 0.341798, Test Loss: 0.221501
Epoch: 044, Train Loss: 0.342895, Test Loss: 0.208948
Epoch: 045, Train Loss: 0.339845, Test Loss: 0.201891
Epoch: 046, Train Loss: 0.335792, Test Loss: 0.210647
Epoch: 047, Train Loss: 0.334547, Test Loss: 0.209623
Epoch: 048, Train Loss: 0.333545, Test Loss: 0.202744
Epoch: 049, Train Loss: 0.330826, Test Loss: 0.201046
